"title","district","lat","lng","person","bedrooms","beds","type","price"
"Urban Retreat in Amazing Location Loft","Downtown Montreal",45.5040316664248,-73.5644323243966,3,0,1,"entire_home",2870
"SPACIOUS 2 BDRS - WALK EVERYWHERE - EASY CHECK-IN","Le Plateau",45.5153243862326,-73.5739087249629,4,2,2,"entire_home",885
"Charming & Cosy Room - Well Located","Le Plateau",45.5184286344395,-73.5739926335225,4,1,2,"private_room",794
"Perfect Location Studio Apartment","Le Plateau",45.519489772461,-73.5787198967418,2,0,1,"entire_home",947
"This is it!","Le Plateau",45.528896,-73.571815,2,0,1,"entire_home",1893
"La chambre qui vous fait signe, dans le Plateau","Le Plateau",45.519653,-73.579849,1,1,1,"private_room",519
"Cozy 2bedroom in front of Metro","Cote-des-Neiges",45.4910547743982,-73.6334112927354,3,1,1,"private_room",458
"Fully furnished studio wifi/cabletv","Ville-Marie",45.5382250687835,-73.5585448428091,4,0,2,"entire_home",1191
"<U+2764><U+FE0F> of City Superhosts +NoCleanFee+Parking+WIFI","Quartier des Spectacles",45.5155152928877,-73.5638279402918,2,1,1,"private_room",1435
"One Beautiful Bricked Plateau Room!","Le Plateau",45.519611,-73.578423,2,1,1,"private_room",1252
"Private big room, heart of Plateau","Le Plateau",45.5131906426434,-73.5735324590955,2,1,1,"private_room",916
"Village- Cozy charming room- apt. 2floors-terrasse","Not Given",45.5200510913974,-73.5534757118696,2,1,1,"private_room",763
"Cozy Apartment Near Downtown!","Ville-Marie",45.5366956404503,-73.556974290292,3,1,1,"entire_home",947
"Charming studio in old-Rosemont","Old Rosemont",45.5476612186008,-73.574649443978,2,1,1,"entire_home",1802
"Comfy apartment in heart of downtown","Downtown Montreal",45.4899889150281,-73.5809886480606,2,1,1,"entire_home",1435
"Eco studio/loft in Mile-End/Plateau","Mile End",45.518889554217,-73.5907635268462,2,1,1,"entire_home",2198
"Studio 10 min from downtown","Le Sud-Ouest",45.463015579835,-73.5848920848811,2,1,1,"entire_home",611
"Good living - Plateau Mont-Royal","Not Given",45.5356294591361,-73.563220164233,4,2,2,"entire_home",702
"Bienvenue au Studio de Richard et Valerie.","Mercier-Hochelaga-Maisonneuve",45.5762176235774,-73.5392982720161,2,1,1,"entire_home",1191
"701-New cozy apartment in downtown","Downtown Montreal",45.4931712377185,-73.5743626108215,2,0,1,"entire_home",1130
"HYPER central! REAL deal!","Le Plateau",45.5168900718975,-73.5745428069803,4,1,2,"entire_home",1893
"Closed room in a magnificent loft.","Ville-Marie",45.5294345773235,-73.5480731667428,2,1,1,"private_room",1069
"View of Montreal from the 29th floor","Downtown Montreal",45.4963797244012,-73.5799897128586,5,1,3,"entire_home",1832
"1247-New Cozy penthouse downtown MTL","Downtown Montreal",45.4918747665366,-73.5745827359289,2,0,1,"entire_home",1863
"Room available in a laid back apt. :-)","Ville-Marie",45.5278915277215,-73.5635748200433,2,1,1,"private_room",611
"Sunny Old Montreal Loft","Downtown Montreal",45.5035284834419,-73.5644300566666,3,1,1,"entire_home",2382
"Chambre douillette dans Ville-marie","Ville-Marie",45.5354188478698,-73.5547940489948,2,1,1,"private_room",1008
"Le Cartier # 201","Ville-Marie",45.5283208253623,-73.5600980522463,4,1,2,"entire_home",2260
"Big Studio in the heart of downtown","Downtown Montreal",45.4937991061397,-73.5811131245451,2,1,1,"entire_home",1069
"L'inoubliable ","Villeray-Saint-Michel-Parc-Extension",45.5649226709703,-73.5958989043405,2,1,1,"entire_home",824
"""La Paige"" Cute Apt Great location!","Le Plateau",45.510597,-73.57267,3,1,2,"entire_home",1435
"The Vintage Stove","Le Plateau",45.522381,-73.576378,6,2,3,"entire_home",2107
"The Loft in The Heart of Plateau Mont-Royal","Le Plateau",45.5209087561023,-73.574064453129,4,1,2,"entire_home",1191
"Exquisite Rooftop Studio","McGill Ghetto",45.50769,-73.573257,2,0,1,"entire_home",1893
"Small private room in heart of Plateau","Le Plateau",45.5152312430783,-73.5769443723409,1,1,1,"private_room",611
"Industrious Urban Flat","McGill Ghetto",45.50769,-73.573257,3,0,1,"entire_home",1679
"Heartwarming Studio in Old MTL!","Old Port",45.507349412076,-73.5542234045906,4,1,2,"entire_home",2351
"Place to Escape","LaSalle",45.4205376382279,-73.6390269360777,4,1,2,"entire_home",885
"New Luxury Apartment Heart of Downtown Centre Bell","Downtown Montreal",45.4948460223878,-73.5718480816598,6,2,3,"entire_home",2840
"Cozy LOFT - In the <U+2764> of OLD PORT / Old Montreal","Old Port",45.5089773855792,-73.551225008475,4,1,2,"entire_home",1466
"Unique Loft-Style Plateau Apartment","Le Plateau",45.522224964731,-73.5733494209025,4,1,2,"entire_home",2565
"NEW Bright and modern apartment in Plateau area","Le Plateau",45.5238322328573,-73.57808399093,4,1,2,"entire_home",1557
"Bright loft in the village","Gay Village",45.5189980203266,-73.5558861850711,2,0,1,"entire_home",2168
"Sunny studio downtown Montreal","Downtown Montreal",45.5183007324155,-73.5651695017223,2,0,1,"entire_home",947
"Luxurious Condo in Heart of Downtown MTL","Downtown Montreal",45.4986279732968,-73.5774219717391,4,1,2,"entire_home",1069
"Logement moderne et confo a Notre-Dame-de-Grace","Notre-Dame-de-Grace",45.4728477232594,-73.6182841184151,3,1,1,"entire_home",2107
"Brand New - Grand Master Loft in Old Montreal","Old Port",45.5008934554888,-73.5564645483283,4,1,2,"entire_home",2351
"Artist loft in centennial building","Gay Village",45.5196066194403,-73.55604525515,2,0,1,"entire_home",2076
"¡¹Instagram featured Historic Old Montreal getaway¡¹","Old Port",45.5048392292315,-73.5556223149824,4,1,3,"entire_home",3450
"Downtown DIY Paradise","McGill Ghetto",45.507793,-73.573395,3,0,1,"entire_home",1679
"New White PARIS condo in heart Downton of Montreal","Quartier des Spectacles",45.5116507811565,-73.5598119889602,2,1,2,"entire_home",1832
"Indulge in a Cool and Romantic Apartment in Old Port","Old Port",45.5007595989345,-73.5569561245437,5,1,1,"entire_home",2137
"Fanciful color","Le Plateau",45.5336228273314,-73.5797088887294,2,1,1,"private_room",641
"Sunlit Balcony<U+2764><U+FE0F>Superhost +NoCleanFee+Parking+WIFI","Quartier des Spectacles",45.5155860479257,-73.5655127513225,1,1,1,"private_room",1313
